highest,episode,time
1,46,00:00:03
2,314,00:00:21
3,326,00:00:21
4,560,00:00:40
5,567,00:00:41
6,583,00:00:42
7,584,00:00:42
8,586,00:00:42
9,600,00:00:43
10,604,00:00:43
11,607,00:00:44
12,614,00:00:44
13,622,00:00:45
14,632,00:00:45
15,638,00:00:46
16,657,00:00:47
17,814,00:00:59
18,820,00:01:00
19,850,00:01:02
20,852,00:01:02
21,857,00:01:03
22,861,00:01:03
23,878,00:01:06
24,879,00:01:06
25,881,00:01:06
26,903,00:01:08
27,913,00:01:08
28,917,00:01:08
29,929,00:01:09
30,931,00:01:09
31,936,00:01:10
32,937,00:01:10
33,940,00:01:10
34,944,00:01:10
35,972,00:01:12
36,999,00:01:14
37,1006,00:01:14
38,1007,00:01:14
39,1008,00:01:15
40,1032,00:01:16
41,1034,00:01:16
42,1035,00:01:16
43,1043,00:01:18
44,1049,00:01:19
45,1050,00:01:19
46,1051,00:01:19
47,1054,00:01:19
48,1055,00:01:19
49,1056,00:01:19
50,1062,00:01:20
51,1085,00:01:21
52,1265,00:01:34
53,1266,00:01:34
54,1277,00:01:34
55,1278,00:01:34
56,1279,00:01:35
57,1286,00:01:35
58,1290,00:01:35
59,1461,00:01:47
60,1530,00:01:52
61,1532,00:01:52
62,1539,00:01:52
63,1540,00:01:52
64,1543,00:01:52
65,1544,00:01:52
66,1545,00:01:53
67,1597,00:01:57
68,1598,00:01:57
69,1599,00:01:57
70,1602,00:01:58
71,1626,00:01:59
72,1679,00:02:02
73,1681,00:02:03
74,1685,00:02:03
75,1828,00:02:13
76,1829,00:02:13
77,1851,00:02:15
78,1867,00:02:16
79,1902,00:02:18
80,1903,00:02:18
81,1905,00:02:18
82,1931,00:02:20
83,1932,00:02:20
84,1933,00:02:20
85,2231,00:02:41
86,2240,00:02:42
87,2245,00:02:42
88,2259,00:02:43
89,2285,00:02:44
90,2532,00:03:00
91,2536,00:03:00
92,2644,00:03:08
93,2864,00:03:22
94,2865,00:03:22
95,3047,00:03:33
96,3253,00:03:45
97,3257,00:03:45
98,3267,00:03:45
99,3273,00:03:46
100,3588,00:04:04
